Minor,Gender,Race,Age,Calendar Period,Rate
55,1,1,1,1,5.2391104096E-05
55,1,1,1,2,3.0768598366E-05
55,1,1,1,3,1.659759772E-05
55,1,1,1,4,1.1986139664E-05
55,1,1,1,5,1.1081055574E-05
55,1,1,1,6,1.2000465839E-05
55,1,1,1,7,1.6611301637E-05
55,1,1,1,8,1.7217437258E-05
55,1,1,1,9,1.5297645077E-05
55,1,1,1,10,1.7732434076E-05
55,1,1,1,11,1.748743877E-05
55,1,1,1,12,1.634082766E-05
55,1,1,1,13,1.5013348176E-05
55,1,1,1,14,1.3497270142E-05
55,1,1,1,15,1.3497270142E-05
55,1,1,2,1,6.5635636928E-05
55,1,1,2,2,3.6000460138E-05
55,1,1,2,3,2.1565088319E-05
55,1,1,2,4,1.8639869877E-05
55,1,1,2,5,1.3172685971E-05
55,1,1,2,6,1.4517339663E-05
55,1,1,2,7,2.0512258188E-05
55,1,1,2,8,2.2531265789E-05
55,1,1,2,9,2.2651240788E-05
55,1,1,2,10,2.3177216051E-05
55,1,1,2,11,2.0871715767E-05
55,1,1,2,12,2.1998663905E-05
55,1,1,2,13,2.2567068281E-05
55,1,1,2,14,2.4217154042E-05
55,1,1,2,15,2.4217154042E-05
55,1,1,3,1,8.528538773E-05
55,1,1,3,2,4.3416329096E-05
55,1,1,3,3,2.7363145839E-05
55,1,1,3,4,2.1637282513E-05
55,1,1,3,5,1.406869745E-05
55,1,1,3,6,1.7040972346E-05
55,1,1,3,7,2.3458743947E-05
55,1,1,3,8,2.7065279133E-05
55,1,1,3,9,2.6902572546E-05
55,1,1,3,10,3.0210316242E-05
55,1,1,3,11,2.8486907137E-05
55,1,1,3,12,2.9993188925E-05
55,1,1,3,13,2.9114869226E-05
55,1,1,3,14,3.4596420462E-05
55,1,1,3,15,3.4596420462E-05
55,1,1,4,1,0.000117334409681
55,1,1,4,2,7.1158186511E-05
55,1,1,4,3,4.2916488664E-05
55,1,1,4,4,3.7851519866E-05
55,1,1,4,5,2.3407312864E-05
55,1,1,4,6,2.4252463753E-05
55,1,1,4,7,3.0261320793E-05
55,1,1,4,8,3.16587071E-05
55,1,1,4,9,3.7094019654E-05
55,1,1,4,10,4.4247464519E-05
55,1,1,4,11,4.2041551608E-05
55,1,1,4,12,4.5723097949E-05
55,1,1,4,13,4.1704623345E-05
55,1,1,4,14,4.5133448383E-05
55,1,1,4,15,4.5133448383E-05
55,1,1,5,1,0.000190108294642
55,1,1,5,2,0.000125131009648
55,1,1,5,3,7.5376943978E-05
55,1,1,5,4,6.4157274388E-05
55,1,1,5,5,4.473571949E-05
55,1,1,5,6,5.0054856982E-05
55,1,1,5,7,4.9206186672E-05
55,1,1,5,8,5.3584708764E-05
55,1,1,5,9,5.9560678964E-05
55,1,1,5,10,6.9071350237E-05
55,1,1,5,11,6.4645653264E-05
55,1,1,5,12,6.8607203367E-05
55,1,1,5,13,6.3140986035E-05
55,1,1,5,14,6.1748520806E-05
55,1,1,5,15,6.1748520806E-05
55,1,1,6,1,0.000321720808782
55,1,1,6,2,0.000230513812933
55,1,1,6,3,0.000147978171515
55,1,1,6,4,0.000112887445407
55,1,1,6,5,8.9863288607E-05
55,1,1,6,6,9.3133915668E-05
55,1,1,6,7,8.8180319372E-05
55,1,1,6,8,9.1058010344E-05
55,1,1,6,9,0.000102087529624
55,1,1,6,10,0.00010502138541
55,1,1,6,11,0.00010438433325
55,1,1,6,12,0.000110325480222
55,1,1,6,13,0.000105289485087
55,1,1,6,14,9.8582970361E-05
55,1,1,6,15,9.8582970361E-05
55,1,1,7,1,0.000519395985282
55,1,1,7,2,0.000396827274776
55,1,1,7,3,0.000247284812756
55,1,1,7,4,0.00020472927219
55,1,1,7,5,0.000155295551924
55,1,1,7,6,0.000160715303735
55,1,1,7,7,0.000153686092346
55,1,1,7,8,0.000175399192257
55,1,1,7,9,0.00017789577251
55,1,1,7,10,0.000186243811529
55,1,1,7,11,0.000169963900188
55,1,1,7,12,0.000170000395584
55,1,1,7,13,0.000155282404169
55,1,1,7,14,0.000153400036308
55,1,1,7,15,0.000153400036308
55,1,1,8,1,0.000839041091026
55,1,1,8,2,0.000645461172259
55,1,1,8,3,0.000393944103307
55,1,1,8,4,0.000325916294944
55,1,1,8,5,0.000281470167905
55,1,1,8,6,0.000262095710639
55,1,1,8,7,0.000251577201079
55,1,1,8,8,0.000297270079981
55,1,1,8,9,0.000321732435439
55,1,1,8,10,0.000329799902659
55,1,1,8,11,0.000280082840768
55,1,1,8,12,0.000258617703743
55,1,1,8,13,0.000223395507043
55,1,1,8,14,0.000222832923393
55,1,1,8,15,0.000222832923393
55,1,1,9,1,0.001290842473257
55,1,1,9,2,0.000977896902263
55,1,1,9,3,0.000601059628178
55,1,1,9,4,0.000505768193445
55,1,1,9,5,0.000465745211771
55,1,1,9,6,0.000436977899586
55,1,1,9,7,0.000376566602341
55,1,1,9,8,0.000442373824805
55,1,1,9,9,0.000543062187231
55,1,1,9,10,0.000599364693651
55,1,1,9,11,0.000470815522804
55,1,1,9,12,0.000425857238769
55,1,1,9,13,0.000348130042737
55,1,1,9,14,0.000322322917644
55,1,1,9,15,0.000322322917644
55,1,1,10,1,0.001848260453294
55,1,1,10,2,0.001431916612356
55,1,1,10,3,0.000955525366199
55,1,1,10,4,0.000794971106769
55,1,1,10,5,0.000786254224257
55,1,1,10,6,0.000671480274268
55,1,1,10,7,0.000565088033747
55,1,1,10,8,0.000680772677734
55,1,1,10,9,0.000856751135141
55,1,1,10,10,0.000985951114634
55,1,1,10,11,0.000782461788019
55,1,1,10,12,0.000709497533704
55,1,1,10,13,0.000557246879505
55,1,1,10,14,0.000491166049787
55,1,1,10,15,0.000491166049787
55,1,1,11,1,0.002703996741598
55,1,1,11,2,0.002054042825903
55,1,1,11,3,0.001390243021702
55,1,1,11,4,0.00119536286236
55,1,1,11,5,0.001325886911338
55,1,1,11,6,0.001034493822274
55,1,1,11,7,0.000798059894703
55,1,1,11,8,0.001003644430744
55,1,1,11,9,0.001267798597617
55,1,1,11,10,0.001489116633458
55,1,1,11,11,0.001198881130612
55,1,1,11,12,0.001121049711299
55,1,1,11,13,0.000892156800061
55,1,1,11,14,0.00075598128689
55,1,1,11,15,0.00075598128689
55,1,1,12,1,0.003972839013343
55,1,1,12,2,0.003073070842451
55,1,1,12,3,0.002021436572509
55,1,1,12,4,0.001744816581827
55,1,1,12,5,0.002429823098282
55,1,1,12,6,0.001785867737291
55,1,1,12,7,0.001097511256874
55,1,1,12,8,0.001414721599384
55,1,1,12,9,0.001948090171506
55,1,1,12,10,0.002373905235237
55,1,1,12,11,0.00192565127924
55,1,1,12,12,0.001786454130983
55,1,1,12,13,0.00150040465353
55,1,1,12,14,0.001293592164211
55,1,1,12,15,0.001293592164211
55,1,1,13,1,0.005753290284819
55,1,1,13,2,0.004705294150325
55,1,1,13,3,0.003000926850419
55,1,1,13,4,0.002697638280118
55,1,1,13,5,0.004595354965521
55,1,1,13,6,0.003137047444906
55,1,1,13,7,0.001674712819336
55,1,1,13,8,0.002070215673646
55,1,1,13,9,0.002965486696432
55,1,1,13,10,0.003696114637825
55,1,1,13,11,0.003058629465025
55,1,1,13,12,0.002886160159642
55,1,1,13,13,0.002609463574921
55,1,1,13,14,0.002309019407174
55,1,1,13,15,0.002309019407174
55,1,1,14,1,0.009049254200201
55,1,1,14,2,0.006732050884981
55,1,1,14,3,0.00450369174521
55,1,1,14,4,0.004218276085548
55,1,1,14,5,0.008747517917122
55,1,1,14,6,0.005667380745328
55,1,1,14,7,0.002697602638468
55,1,1,14,8,0.003525383389092
55,1,1,14,9,0.004688513981197
