code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1975-2016,All ages,78.808,78.572,79.044,All races,F
di,1975-2016,00-04,1.087,0.983,1.199,All races,F
di,1975-2016,00,2.095,1.78,2.449,All races,F
di,1975-2016,01-04,0.829,0.728,0.94,All races,F
di,1975-2016,05-09,0.221,0.175,0.274,All races,F
di,1975-2016,10-14,0.355,0.297,0.421,All races,F
di,1975-2016,15-19,0.667,0.588,0.755,All races,F
di,1975-2016,20-24,1.521,1.401,1.648,All races,F
di,1975-2016,25-29,2.943,2.78,3.113,All races,F
di,1975-2016,30-34,5.957,5.725,6.195,All races,F
di,1975-2016,35-39,11.408,11.078,11.746,All races,F
di,1975-2016,40-44,22.704,22.224,23.191,All races,F
di,1975-2016,45-49,42.593,41.909,43.285,All races,F
di,1975-2016,50-54,76.803,75.849,77.766,All races,F
di,1975-2016,55-59,114.81,113.573,116.056,All races,F
di,1975-2016,60-64,168.365,166.748,169.993,All races,F
di,1975-2016,65-69,248.735,246.601,250.884,All races,F
di,1975-2016,70-74,344.751,341.977,347.542,All races,F
di,1975-2016,75-79,451.17,447.653,454.708,All races,F
di,1975-2016,80-84,551.614,547.114,556.142,All races,F
di,1975-2016,85+,610.194,605.451,614.964,All races,F
di,2000-2016,All ages,78.854,78.504,79.205,All races,F
di,2000-2016,00-04,1.23,1.063,1.416,All races,F
di,2000-2016,00,2.487,1.969,3.099,All races,F
di,2000-2016,01-04,0.913,0.754,1.096,All races,F
di,2000-2016,05-09,0.284,0.207,0.38,All races,F
di,2000-2016,10-14,0.443,0.346,0.558,All races,F
di,2000-2016,15-19,0.94,0.796,1.101,All races,F
di,2000-2016,20-24,2.188,1.967,2.427,All races,F
di,2000-2016,25-29,3.817,3.527,4.124,All races,F
di,2000-2016,30-34,7.558,7.152,7.982,All races,F
di,2000-2016,35-39,13.225,12.687,13.779,All races,F
di,2000-2016,40-44,25.207,24.474,25.956,All races,F
di,2000-2016,45-49,45.584,44.598,46.586,All races,F
di,2000-2016,50-54,81.122,79.782,82.48,All races,F
di,2000-2016,55-59,109.189,107.534,110.862,All races,F
di,2000-2016,60-64,152.775,150.601,154.972,All races,F
di,2000-2016,65-69,224.715,221.732,227.728,All races,F
di,2000-2016,70-74,308.162,304.231,312.132,All races,F
di,2000-2016,75-79,406.156,401.226,411.131,All races,F
di,2000-2016,80-84,493.995,487.952,500.094,All races,F
di,2000-2016,85+,540.294,534.259,546.38,All races,F
di,1992-2016,All ages,78.891,78.597,79.186,All races,F
di,1992-2016,00-04,1.207,1.069,1.357,All races,F
di,1992-2016,00,2.342,1.921,2.827,All races,F
di,1992-2016,01-04,0.923,0.789,1.072,All races,F
di,1992-2016,05-09,0.255,0.194,0.329,All races,F
di,1992-2016,10-14,0.368,0.294,0.454,All races,F
di,1992-2016,15-19,0.811,0.698,0.936,All races,F
di,1992-2016,20-24,1.9,1.727,2.087,All races,F
di,1992-2016,25-29,3.5,3.27,3.742,All races,F
di,1992-2016,30-34,6.771,6.457,7.097,All races,F
di,1992-2016,35-39,12.187,11.767,12.619,All races,F
di,1992-2016,40-44,23.559,22.973,24.157,All races,F
di,1992-2016,45-49,43.24,42.426,44.065,All races,F
di,1992-2016,50-54,77.066,75.932,78.214,All races,F
di,1992-2016,55-59,109.989,108.526,111.468,All races,F
di,1992-2016,60-64,158.449,156.516,160.399,All races,F
di,1992-2016,65-69,234.125,231.541,236.731,All races,F
di,1992-2016,70-74,325.738,322.388,329.115,All races,F
di,1992-2016,75-79,423.3,419.126,427.505,All races,F
di,1992-2016,80-84,517.469,512.238,522.74,All races,F
di,1992-2016,85+,570.057,564.706,575.445,All races,F
di,1990-2016,All ages,78.958,78.673,79.243,All races,F
di,1990-2016,00-04,1.188,1.056,1.332,All races,F
di,1990-2016,00,2.285,1.885,2.745,All races,F
di,1990-2016,01-04,0.912,0.784,1.055,All races,F
di,1990-2016,05-09,0.246,0.188,0.316,All races,F
di,1990-2016,10-14,0.352,0.282,0.434,All races,F
di,1990-2016,15-19,0.771,0.665,0.89,All races,F
di,1990-2016,20-24,1.831,1.666,2.007,All races,F
di,1990-2016,25-29,3.445,3.226,3.676,All races,F
di,1990-2016,30-34,6.568,6.271,6.876,All races,F
di,1990-2016,35-39,12.054,11.651,12.467,All races,F
di,1990-2016,40-44,23.304,22.741,23.879,All races,F
di,1990-2016,45-49,42.841,42.053,43.64,All races,F
di,1990-2016,50-54,76.874,75.767,77.993,All races,F
di,1990-2016,55-59,110.335,108.905,111.779,All races,F
di,1990-2016,60-64,159.474,157.592,161.372,All races,F
di,1990-2016,65-69,236.194,233.689,238.719,All races,F
di,1990-2016,70-74,328.781,325.532,332.054,All races,F
di,1990-2016,75-79,428.4,424.341,432.488,All races,F
di,1990-2016,80-84,523.15,518.046,528.292,All races,F
di,1990-2016,85+,575.43,570.193,580.703,All races,F
di,2007-2016,All ages,78.238,77.79,78.688,All races,F
di,2007-2016,00-04,1.218,1.004,1.463,All races,F
di,2007-2016,00,2.626,1.943,3.472,All races,F
di,2007-2016,01-04,0.867,0.669,1.105,All races,F
di,2007-2016,05-09,0.275,0.18,0.403,All races,F
di,2007-2016,10-14,0.557,0.417,0.728,All races,F
di,2007-2016,15-19,1.284,1.068,1.531,All races,F
di,2007-2016,20-24,2.274,1.986,2.592,All races,F
di,2007-2016,25-29,4.263,3.873,4.682,All races,F
di,2007-2016,30-34,8.327,7.774,8.908,All races,F
di,2007-2016,35-39,14.451,13.714,15.219,All races,F
di,2007-2016,40-44,26.904,25.902,27.935,All races,F
di,2007-2016,45-49,47.22,45.913,48.555,All races,F
di,2007-2016,50-54,85.879,84.125,87.661,All races,F
di,2007-2016,55-59,109.004,106.953,111.085,All races,F
di,2007-2016,60-64,147.414,144.828,150.034,All races,F
di,2007-2016,65-69,210.975,207.448,214.547,All races,F
di,2007-2016,70-74,286.95,282.132,291.829,All races,F
di,2007-2016,75-79,380.052,373.798,386.384,All races,F
di,2007-2016,80-84,465.162,457.539,472.88,All races,F
di,2007-2016,85+,500.679,493.42,508.018,All races,F
di,2012-2016,All ages,78.159,77.532,78.789,All races,F
di,2012-2016,00-04,1.505,1.173,1.902,All races,F
di,2012-2016,00,3.471,2.374,4.901,All races,F
di,2012-2016,01-04,1.019,0.721,1.399,All races,F
di,2012-2016,05-09,,,,All races,F
di,2012-2016,10-14,0.835,0.597,1.138,All races,F
di,2012-2016,15-19,1.931,1.556,2.368,All races,F
di,2012-2016,20-24,2.878,2.43,3.385,All races,F
di,2012-2016,25-29,4.881,4.301,5.519,All races,F
di,2012-2016,30-34,9.155,8.358,10.008,All races,F
di,2012-2016,35-39,15.552,14.474,16.69,All races,F
di,2012-2016,40-44,27.297,25.867,28.785,All races,F
di,2012-2016,45-49,48.771,46.868,50.732,All races,F
di,2012-2016,50-54,88.554,86.047,91.115,All races,F
di,2012-2016,55-59,107.934,105.119,110.805,All races,F
di,2012-2016,60-64,148.702,145.169,152.3,All races,F
di,2012-2016,65-69,204.23,199.638,208.902,All races,F
di,2012-2016,70-74,269.053,262.768,275.45,All races,F
di,2012-2016,75-79,358.012,349.547,366.63,All races,F
di,2012-2016,80-84,440.284,429.721,451.04,All races,F
di,2012-2016,85+,469.994,460.309,479.832,All races,F
di,1975,All ages,71.554,69.942,73.194,All races,F
di,1975,00-04,,,,All races,F
di,1975,00,,,,All races,F
di,1975,01-04,,,,All races,F
