code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1975-2016,All ages,93.286,93.025,93.549,All races,M
di,1975-2016,00-04,1.171,1.065,1.284,All races,M
di,1975-2016,00,2.241,1.922,2.598,All races,M
di,1975-2016,01-04,0.896,0.794,1.009,All races,M
di,1975-2016,05-09,0.234,0.189,0.288,All races,M
di,1975-2016,10-14,0.27,0.221,0.327,All races,M
di,1975-2016,15-19,0.682,0.603,0.768,All races,M
di,1975-2016,20-24,1.473,1.358,1.596,All races,M
di,1975-2016,25-29,3.306,3.135,3.485,All races,M
di,1975-2016,30-34,6.947,6.697,7.204,All races,M
di,1975-2016,35-39,14.305,13.934,14.683,All races,M
di,1975-2016,40-44,29.14,28.591,29.696,All races,M
di,1975-2016,45-49,59.452,58.634,60.279,All races,M
di,1975-2016,50-54,116.871,115.67,118.082,All races,M
di,1975-2016,55-59,186.36,184.734,187.996,All races,M
di,1975-2016,60-64,283.97,281.768,286.184,All races,M
di,1975-2016,65-69,401.918,398.984,404.868,All races,M
di,1975-2016,70-74,534.147,530.257,538.057,All races,M
di,1975-2016,75-79,661.956,656.874,667.068,All races,M
di,1975-2016,80-84,774.988,768.12,781.901,All races,M
di,1975-2016,85+,810.587,802.433,818.803,All races,M
di,2000-2016,All ages,96.932,96.538,97.328,All races,M
di,2000-2016,00-04,1.273,1.107,1.457,All races,M
di,2000-2016,00,2.195,1.721,2.76,All races,M
di,2000-2016,01-04,1.04,0.873,1.23,All races,M
di,2000-2016,05-09,0.248,0.178,0.336,All races,M
di,2000-2016,10-14,0.364,0.279,0.467,All races,M
di,2000-2016,15-19,0.934,0.794,1.091,All races,M
di,2000-2016,20-24,1.873,1.673,2.089,All races,M
di,2000-2016,25-29,4.312,4.006,4.634,All races,M
di,2000-2016,30-34,8.395,7.968,8.838,All races,M
di,2000-2016,35-39,16.626,16.022,17.247,All races,M
di,2000-2016,40-44,31.666,30.84,32.509,All races,M
di,2000-2016,45-49,63.487,62.31,64.681,All races,M
di,2000-2016,50-54,126.403,124.698,128.125,All races,M
di,2000-2016,55-59,185.423,183.207,187.66,All races,M
di,2000-2016,60-64,268.306,265.307,271.331,All races,M
di,2000-2016,65-69,363.712,359.68,367.778,All races,M
di,2000-2016,70-74,468.369,463.052,473.733,All races,M
di,2000-2016,75-79,581.067,574.273,587.922,All races,M
di,2000-2016,80-84,679.357,670.617,688.182,All races,M
di,2000-2016,85+,703.074,693.19,713.063,All races,M
di,1992-2016,All ages,95.219,94.891,95.548,All races,M
di,1992-2016,00-04,1.269,1.13,1.419,All races,M
di,1992-2016,00,2.359,1.946,2.834,All races,M
di,1992-2016,01-04,0.995,0.86,1.147,All races,M
di,1992-2016,05-09,0.236,0.178,0.305,All races,M
di,1992-2016,10-14,0.331,0.263,0.411,All races,M
di,1992-2016,15-19,0.82,0.71,0.942,All races,M
di,1992-2016,20-24,1.71,1.549,1.883,All races,M
di,1992-2016,25-29,3.855,3.616,4.106,All races,M
di,1992-2016,30-34,7.782,7.447,8.129,All races,M
