code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1975-2016,All ages,68.755,68.12,69.396,Black,F
di,1975-2016,00-04,0.911,0.672,1.208,Black,F
di,1975-2016,00,,,,Black,F
di,1975-2016,01-04,0.784,0.54,1.101,Black,F
di,1975-2016,05-09,,,,Black,F
di,1975-2016,10-14,0.375,0.229,0.579,Black,F
di,1975-2016,15-19,0.661,0.46,0.919,Black,F
di,1975-2016,20-24,1.553,1.237,1.925,Black,F
di,1975-2016,25-29,3.2,2.746,3.708,Black,F
di,1975-2016,30-34,7.417,6.706,8.183,Black,F
di,1975-2016,35-39,15.475,14.399,16.61,Black,F
di,1975-2016,40-44,30.544,28.951,32.202,Black,F
di,1975-2016,45-49,60.665,58.257,63.146,Black,F
di,1975-2016,50-54,115.408,111.839,119.062,Black,F
di,1975-2016,55-59,168.488,163.762,173.315,Black,F
di,1975-2016,60-64,236.017,229.783,242.378,Black,F
di,1975-2016,65-69,324,315.814,332.344,Black,F
di,1975-2016,70-74,417.261,406.517,428.217,Black,F
di,1975-2016,75-79,517.131,503.291,531.255,Black,F
di,1975-2016,80-84,618.554,599.906,637.635,Black,F
di,1975-2016,85+,650.062,630.247,670.341,Black,F
di,2000-2016,All ages,72.585,71.66,73.519,Black,F
di,2000-2016,00-04,0.835,0.51,1.289,Black,F
di,2000-2016,00,,,,Black,F
di,2000-2016,01-04,,,,Black,F
di,2000-2016,05-09,,,,Black,F
di,2000-2016,10-14,,,,Black,F
di,2000-2016,15-19,0.754,0.454,1.177,Black,F
di,2000-2016,20-24,1.843,1.344,2.465,Black,F
di,2000-2016,25-29,3.139,2.477,3.923,Black,F
di,2000-2016,30-34,8.016,6.936,9.217,Black,F
di,2000-2016,35-39,15.054,13.557,16.671,Black,F
di,2000-2016,40-44,31.153,28.964,33.463,Black,F
di,2000-2016,45-49,62.477,59.259,65.824,Black,F
di,2000-2016,50-54,120.164,115.46,125.011,Black,F
di,2000-2016,55-59,162.837,156.801,169.046,Black,F
di,2000-2016,60-64,227.211,219.038,235.611,Black,F
di,2000-2016,65-69,308.563,297.424,320.012,Black,F
di,2000-2016,70-74,386.922,372.319,401.952,Black,F
di,2000-2016,75-79,490.635,471.749,510.083,Black,F
di,2000-2016,80-84,564.426,540.597,589.035,Black,F
di,2000-2016,85+,615.329,590.345,641.099,Black,F
di,1992-2016,All ages,71.072,70.293,71.857,Black,F
di,1992-2016,00-04,0.918,0.628,1.296,Black,F
di,1992-2016,00,,,,Black,F
di,1992-2016,01-04,0.714,0.436,1.103,Black,F
di,1992-2016,05-09,,,,Black,F
di,1992-2016,10-14,,,,Black,F
di,1992-2016,15-19,0.726,0.47,1.072,Black,F
di,1992-2016,20-24,1.709,1.297,2.209,Black,F
di,1992-2016,25-29,3.253,2.686,3.904,Black,F
di,1992-2016,30-34,8.175,7.266,9.167,Black,F
di,1992-2016,35-39,15.01,13.76,16.342,Black,F
di,1992-2016,40-44,29.998,28.174,31.91,Black,F
di,1992-2016,45-49,61.884,59.104,64.76,Black,F
di,1992-2016,50-54,116.785,112.666,121.017,Black,F
di,1992-2016,55-59,164.503,159.063,170.08,Black,F
di,1992-2016,60-64,231.931,224.606,239.434,Black,F
