code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1975-2016,All ages,84.475,83.735,85.22,Black,M
di,1975-2016,00-04,0.884,0.652,1.172,Black,M
di,1975-2016,00,1.557,0.907,2.492,Black,M
di,1975-2016,01-04,0.715,0.486,1.015,Black,M
di,1975-2016,05-09,,,,Black,M
di,1975-2016,10-14,,,,Black,M
di,1975-2016,15-19,0.837,0.61,1.12,Black,M
di,1975-2016,20-24,1.587,1.261,1.973,Black,M
di,1975-2016,25-29,4.193,3.64,4.806,Black,M
di,1975-2016,30-34,9.253,8.402,10.165,Black,M
di,1975-2016,35-39,20.499,19.169,21.897,Black,M
di,1975-2016,40-44,44.079,42.025,46.208,Black,M
di,1975-2016,45-49,86.802,83.713,89.976,Black,M
di,1975-2016,50-54,175.72,170.973,180.566,Black,M
di,1975-2016,55-59,280.3,273.656,287.064,Black,M
di,1975-2016,60-64,411.308,402.131,420.642,Black,M
di,1975-2016,65-69,529.521,517.545,541.704,Black,M
di,1975-2016,70-74,640.931,625.045,657.119,Black,M
di,1975-2016,75-79,763.588,742.41,785.218,Black,M
di,1975-2016,80-84,869.274,839.127,900.227,Black,M
di,1975-2016,85+,849.21,813.972,885.581,Black,M
di,2000-2016,All ages,88.265,87.194,89.346,Black,M
di,2000-2016,00-04,0.805,0.492,1.244,Black,M
di,2000-2016,00,,,,Black,M
di,2000-2016,01-04,,,,Black,M
di,2000-2016,05-09,,,,Black,M
di,2000-2016,10-14,,,,Black,M
di,2000-2016,15-19,1.001,0.654,1.467,Black,M
di,2000-2016,20-24,1.504,1.053,2.082,Black,M
di,2000-2016,25-29,5.23,4.318,6.278,Black,M
di,2000-2016,30-34,10.57,9.236,12.041,Black,M
di,2000-2016,35-39,21.465,19.542,23.527,Black,M
di,2000-2016,40-44,41.385,38.681,44.227,Black,M
di,2000-2016,45-49,80.258,76.356,84.309,Black,M
di,2000-2016,50-54,172.198,166.135,178.425,Black,M
di,2000-2016,55-59,277.955,269.35,286.766,Black,M
di,2000-2016,60-64,401.878,389.724,414.314,Black,M
di,2000-2016,65-69,507.409,491.013,524.213,Black,M
di,2000-2016,70-74,573.021,551.942,594.698,Black,M
di,2000-2016,75-79,688.986,660.907,717.951,Black,M
di,2000-2016,80-84,800.808,762.259,840.801,Black,M
di,2000-2016,85+,780.736,736.728,826.686,Black,M
di,1992-2016,All ages,85.782,84.884,86.687,Black,M
di,1992-2016,00-04,1.053,0.745,1.445,Black,M
di,1992-2016,00,,,,Black,M
di,1992-2016,01-04,0.862,0.558,1.273,Black,M
di,1992-2016,05-09,,,,Black,M
di,1992-2016,10-14,,,,Black,M
di,1992-2016,15-19,0.877,0.596,1.245,Black,M
di,1992-2016,20-24,1.703,1.286,2.211,Black,M
di,1992-2016,25-29,4.879,4.139,5.713,Black,M
di,1992-2016,30-34,9.69,8.631,10.843,Black,M
di,1992-2016,35-39,21.081,19.492,22.766,Black,M
di,1992-2016,40-44,43.06,40.715,45.505,Black,M
di,1992-2016,45-49,83.277,79.82,86.846,Black,M
di,1992-2016,50-54,171.346,165.971,176.852,Black,M
di,1992-2016,55-59,276.629,268.922,284.5,Black,M
di,1992-2016,60-64,400.79,390.028,411.774,Black,M
di,1992-2016,65-69,517.899,503.567,532.536,Black,M
di,1992-2016,70-74,611.61,592.958,630.699,Black,M
di,1992-2016,75-79,728.388,703.835,753.58,Black,M
di,1992-2016,80-84,835.572,801.392,870.835,Black,M
di,1992-2016,85+,824.635,784.89,865.871,Black,M
di,1990-2016,All ages,85.639,84.768,86.517,Black,M
di,1990-2016,00-04,1.084,0.782,1.466,Black,M
di,1990-2016,00,,,,Black,M
di,1990-2016,01-04,0.901,0.599,1.302,Black,M
di,1990-2016,05-09,,,,Black,M
di,1990-2016,10-14,,,,Black,M
di,1990-2016,15-19,0.825,0.561,1.172,Black,M
di,1990-2016,20-24,1.68,1.279,2.167,Black,M
di,1990-2016,25-29,4.689,3.989,5.477,Black,M
di,1990-2016,30-34,9.532,8.517,10.634,Black,M
di,1990-2016,35-39,21.117,19.575,22.748,Black,M
di,1990-2016,40-44,43.206,40.922,45.585,Black,M
di,1990-2016,45-49,83.664,80.274,87.161,Black,M
di,1990-2016,50-54,171.535,166.26,176.935,Black,M
di,1990-2016,55-59,278.166,270.595,285.896,Black,M
di,1990-2016,60-64,403.297,392.771,414.034,Black,M
di,1990-2016,65-69,522.183,508.22,536.433,Black,M
di,1990-2016,70-74,618.581,600.382,637.193,Black,M
di,1990-2016,75-79,733.341,709.414,757.869,Black,M
di,1990-2016,80-84,841.483,808.054,875.94,Black,M
di,1990-2016,85+,834.586,795.55,875.043,Black,M
di,2007-2016,All ages,92.359,90.965,93.769,Black,M
di,2007-2016,00-04,1.066,0.609,1.73,Black,M
di,2007-2016,00,,,,Black,M
di,2007-2016,01-04,,,,Black,M
di,2007-2016,05-09,,,,Black,M
di,2007-2016,10-14,,,,Black,M
di,2007-2016,15-19,1.236,0.755,1.909,Black,M
di,2007-2016,20-24,1.769,1.166,2.574,Black,M
di,2007-2016,25-29,5.258,4.114,6.622,Black,M
di,2007-2016,30-34,11.434,9.643,13.461,Black,M
di,2007-2016,35-39,20.465,18.03,23.137,Black,M
di,2007-2016,40-44,41.35,37.859,45.076,Black,M
di,2007-2016,45-49,77.588,72.714,82.703,Black,M
di,2007-2016,50-54,168.599,161.149,176.305,Black,M
di,2007-2016,55-59,276.741,266.335,287.45,Black,M
di,2007-2016,60-64,411.183,396.504,426.265,Black,M
di,2007-2016,65-69,508.955,489.19,529.313,Black,M
di,2007-2016,70-74,544.513,519.089,570.861,Black,M
di,2007-2016,75-79,634.597,600.487,670.139,Black,M
di,2007-2016,80-84,746.233,699.334,795.45,Black,M
di,2007-2016,85+,708.587,658.11,761.907,Black,M
di,2012-2016,All ages,94.975,93.012,96.969,Black,M
di,2012-2016,00-04,,,,Black,M
di,2012-2016,00,,,,Black,M
di,2012-2016,01-04,,,,Black,M
di,2012-2016,05-09,,,,Black,M
di,2012-2016,10-14,,,,Black,M
di,2012-2016,15-19,,,,Black,M
di,2012-2016,20-24,,,,Black,M
di,2012-2016,25-29,6.142,4.48,8.218,Black,M
di,2012-2016,30-34,13.667,10.99,16.799,Black,M
di,2012-2016,35-39,21.56,18.052,25.552,Black,M
di,2012-2016,40-44,40.684,35.834,46.008,Black,M
di,2012-2016,45-49,76.814,70.011,84.099,Black,M
