code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1975-2016,All ages,82.536,82.261,82.811,White,F
di,1975-2016,00-04,1.079,0.96,1.21,White,F
di,1975-2016,00,2.096,1.734,2.512,White,F
di,1975-2016,01-04,0.819,0.703,0.948,White,F
di,1975-2016,05-09,0.201,0.152,0.262,White,F
di,1975-2016,10-14,0.346,0.28,0.422,White,F
di,1975-2016,15-19,0.657,0.567,0.758,White,F
di,1975-2016,20-24,1.473,1.338,1.618,White,F
di,1975-2016,25-29,2.773,2.592,2.964,White,F
di,1975-2016,30-34,5.509,5.253,5.775,White,F
di,1975-2016,35-39,10.356,9.996,10.726,White,F
di,1975-2016,40-44,20.891,20.367,21.426,White,F
di,1975-2016,45-49,39.58,38.834,40.336,White,F
di,1975-2016,50-54,70.822,69.792,71.863,White,F
di,1975-2016,55-59,107.98,106.641,109.331,White,F
di,1975-2016,60-64,161.556,159.796,163.329,White,F
di,1975-2016,65-69,242.112,239.787,244.454,White,F
di,1975-2016,70-74,340.507,337.488,343.546,White,F
di,1975-2016,75-79,448.6,444.79,452.435,White,F
di,1975-2016,80-84,549.715,544.877,554.585,White,F
di,1975-2016,85+,608.548,603.479,613.649,White,F
di,2000-2016,All ages,81.932,81.516,82.349,White,F
di,2000-2016,00-04,1.286,1.085,1.514,White,F
di,2000-2016,00,2.572,1.953,3.325,White,F
di,2000-2016,01-04,0.962,0.769,1.188,White,F
di,2000-2016,05-09,0.258,0.173,0.371,White,F
di,2000-2016,10-14,0.451,0.336,0.591,White,F
di,2000-2016,15-19,0.961,0.791,1.158,White,F
di,2000-2016,20-24,2.251,1.986,2.541,White,F
di,2000-2016,25-29,3.915,3.566,4.29,White,F
di,2000-2016,30-34,7.268,6.793,7.767,White,F
di,2000-2016,35-39,12.534,11.913,13.178,White,F
di,2000-2016,40-44,23.842,23.006,24.7,White,F
di,2000-2016,45-49,42.866,41.759,43.995,White,F
di,2000-2016,50-54,74.641,73.166,76.139,White,F
di,2000-2016,55-59,100.854,99.043,102.689,White,F
di,2000-2016,60-64,142.802,140.42,145.214,White,F
di,2000-2016,65-69,213.76,210.477,217.082,White,F
di,2000-2016,70-74,299.788,295.435,304.189,White,F
di,2000-2016,75-79,398.982,393.545,404.476,White,F
di,2000-2016,80-84,488.721,482.108,495.401,White,F
di,2000-2016,85+,531.853,525.343,538.424,White,F
di,1992-2016,All ages,82.306,81.959,82.654,White,F
di,1992-2016,00-04,1.232,1.068,1.413,White,F
di,1992-2016,00,2.376,1.881,2.961,White,F
di,1992-2016,01-04,0.944,0.786,1.125,White,F
di,1992-2016,05-09,0.229,0.162,0.314,White,F
di,1992-2016,10-14,0.361,0.276,0.464,White,F
di,1992-2016,15-19,0.817,0.685,0.966,White,F
di,1992-2016,20-24,1.887,1.684,2.108,White,F
di,1992-2016,25-29,3.479,3.208,3.766,White,F
di,1992-2016,30-34,6.334,5.977,6.707,White,F
di,1992-2016,35-39,11.236,10.765,11.723,White,F
di,1992-2016,40-44,21.969,21.313,22.64,White,F
di,1992-2016,45-49,40.079,39.18,40.992,White,F
di,1992-2016,50-54,70.444,69.209,71.695,White,F
di,1992-2016,55-59,102.046,100.45,103.661,White,F
di,1992-2016,60-64,149.214,147.099,151.352,White,F
di,1992-2016,65-69,224.7,221.861,227.567,White,F
di,1992-2016,70-74,318.331,314.646,322.048,White,F
di,1992-2016,75-79,416.827,412.263,421.428,White,F
di,1992-2016,80-84,512.61,506.933,518.335,White,F
di,1992-2016,85+,564.388,558.639,570.181,White,F
di,1990-2016,All ages,82.413,82.078,82.749,White,F
di,1990-2016,00-04,1.211,1.056,1.384,White,F
di,1990-2016,00,2.3,1.832,2.851,White,F
di,1990-2016,01-04,0.937,0.785,1.109,White,F
di,1990-2016,05-09,0.218,0.155,0.298,White,F
di,1990-2016,10-14,0.342,0.262,0.438,White,F
di,1990-2016,15-19,0.779,0.655,0.92,White,F
di,1990-2016,20-24,1.813,1.622,2.021,White,F
di,1990-2016,25-29,3.368,3.113,3.638,White,F
di,1990-2016,30-34,6.109,5.773,6.459,White,F
di,1990-2016,35-39,11.073,10.624,11.537,White,F
di,1990-2016,40-44,21.647,21.019,22.288,White,F
di,1990-2016,45-49,39.686,38.818,40.569,White,F
di,1990-2016,50-54,70.201,68.999,71.42,White,F
di,1990-2016,55-59,102.341,100.783,103.917,White,F
di,1990-2016,60-64,150.568,148.509,152.648,White,F
di,1990-2016,65-69,226.894,224.146,229.668,White,F
di,1990-2016,70-74,321.69,318.124,325.287,White,F
di,1990-2016,75-79,422.463,418.031,426.93,White,F
di,1990-2016,80-84,518.464,512.934,524.039,White,F
di,1990-2016,85+,570.076,564.455,575.739,White,F
di,2007-2016,All ages,80.854,80.319,81.391,White,F
di,2007-2016,00-04,1.222,0.969,1.521,White,F
di,2007-2016,00,2.61,1.808,3.648,White,F
di,2007-2016,01-04,0.878,0.643,1.171,White,F
di,2007-2016,05-09,,,,White,F
di,2007-2016,10-14,0.552,0.389,0.761,White,F
di,2007-2016,15-19,1.343,1.081,1.648,White,F
di,2007-2016,20-24,2.293,1.949,2.679,White,F
di,2007-2016,25-29,4.374,3.902,4.888,White,F
di,2007-2016,30-34,8.332,7.67,9.036,White,F
di,2007-2016,35-39,14.053,13.179,14.97,White,F
di,2007-2016,40-44,25.939,24.768,27.151,White,F
di,2007-2016,45-49,44.779,43.289,46.307,White,F
di,2007-2016,50-54,78.961,77.017,80.941,White,F
di,2007-2016,55-59,100.713,98.452,103.013,White,F
di,2007-2016,60-64,136.192,133.361,139.068,White,F
di,2007-2016,65-69,200.271,196.383,204.216,White,F
di,2007-2016,70-74,278.121,272.773,283.546,White,F
di,2007-2016,75-79,372.066,365.116,379.115,White,F
di,2007-2016,80-84,461.736,453.291,470.299,White,F
di,2007-2016,85+,491.066,483.183,499.045,White,F
di,2012-2016,All ages,80.792,80.04,81.548,White,F
di,2012-2016,00-04,1.371,0.996,1.841,White,F
di,2012-2016,00,2.981,1.795,4.655,White,F
di,2012-2016,01-04,0.972,0.629,1.435,White,F
di,2012-2016,05-09,,,,White,F
di,2012-2016,10-14,0.834,0.554,1.206,White,F
di,2012-2016,15-19,2.155,1.686,2.714,White,F
di,2012-2016,20-24,2.912,2.375,3.535,White,F
di,2012-2016,25-29,5.261,4.536,6.069,White,F
di,2012-2016,30-34,9.053,8.101,10.086,White,F
di,2012-2016,35-39,15.165,13.881,16.536,White,F
di,2012-2016,40-44,26.663,24.963,28.448,White,F
di,2012-2016,45-49,46.601,44.402,48.88,White,F
di,2012-2016,50-54,82.874,80.054,85.768,White,F
di,2012-2016,55-59,100.079,96.962,103.271,White,F
di,2012-2016,60-64,137.802,133.908,141.781,White,F
di,2012-2016,65-69,195.137,190.04,200.336,White,F
di,2012-2016,70-74,263.244,256.228,270.404,White,F
di,2012-2016,75-79,348.479,339.054,358.1,White,F
di,2012-2016,80-84,437.785,425.979,449.836,White,F
di,2012-2016,85+,460.983,450.372,471.78,White,F
di,1975,All ages,74.916,73.126,76.74,White,F
di,1975,00-04,,,,White,F
di,1975,00,,,,White,F
di,1975,01-04,,,,White,F
di,1975,05-09,,,,White,F
di,1975,10-14,,,,White,F
di,1975,15-19,,,,White,F
di,1975,20-24,,,,White,F
di,1975,25-29,,,,White,F
di,1975,30-34,4.313,2.818,6.32,White,F
di,1975,35-39,9.924,7.317,13.157,White,F
