code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1975-2016,All ages,95.243,94.944,95.542,White,M
di,1975-2016,00-04,1.156,1.035,1.288,White,M
di,1975-2016,00,2.201,1.837,2.615,White,M
di,1975-2016,01-04,0.888,0.77,1.019,White,M
di,1975-2016,05-09,0.24,0.187,0.304,White,M
di,1975-2016,10-14,0.237,0.185,0.3,White,M
di,1975-2016,15-19,0.646,0.559,0.743,White,M
di,1975-2016,20-24,1.377,1.25,1.514,White,M
di,1975-2016,25-29,2.973,2.789,3.166,White,M
di,1975-2016,30-34,6.325,6.055,6.604,White,M
di,1975-2016,35-39,12.709,12.314,13.113,White,M
di,1975-2016,40-44,26.315,25.729,26.912,White,M
di,1975-2016,45-49,54.531,53.655,55.417,White,M
di,1975-2016,50-54,107.279,106,108.57,White,M
di,1975-2016,55-59,173.788,172.055,175.534,White,M
di,1975-2016,60-64,268.907,266.552,271.277,White,M
di,1975-2016,65-69,388.298,385.135,391.479,White,M
di,1975-2016,70-74,523.274,519.072,527.503,White,M
di,1975-2016,75-79,653.732,648.239,659.26,White,M
di,1975-2016,80-84,768.759,761.367,776.205,White,M
di,1975-2016,85+,807.837,799.035,816.712,White,M
di,2000-2016,All ages,99.4,98.939,99.862,White,M
di,2000-2016,00-04,1.243,1.05,1.462,White,M
di,2000-2016,00,2.157,1.606,2.836,White,M
di,2000-2016,01-04,1.013,0.819,1.238,White,M
di,2000-2016,05-09,0.28,0.193,0.393,White,M
di,2000-2016,10-14,0.362,0.263,0.486,White,M
di,2000-2016,15-19,0.95,0.785,1.139,White,M
di,2000-2016,20-24,1.864,1.631,2.12,White,M
di,2000-2016,25-29,4.12,3.771,4.492,White,M
di,2000-2016,30-34,7.863,7.381,8.367,White,M
di,2000-2016,35-39,15.285,14.612,15.981,White,M
di,2000-2016,40-44,29.309,28.393,30.246,White,M
di,2000-2016,45-49,59.6,58.299,60.923,White,M
di,2000-2016,50-54,117.243,115.385,119.124,White,M
di,2000-2016,55-59,171.548,169.154,173.967,White,M
di,2000-2016,60-64,250.46,247.226,253.727,White,M
di,2000-2016,65-69,345.631,341.258,350.046,White,M
di,2000-2016,70-74,454.093,448.29,459.952,White,M
di,2000-2016,75-79,568.972,561.567,576.45,White,M
di,2000-2016,80-84,666.923,657.464,676.485,White,M
di,2000-2016,85+,694.604,683.885,705.449,White,M
di,1992-2016,All ages,97.586,97.206,97.968,White,M
di,1992-2016,00-04,1.213,1.055,1.389,White,M
di,1992-2016,00,2.264,1.792,2.821,White,M
di,1992-2016,01-04,0.95,0.795,1.126,White,M
di,1992-2016,05-09,0.258,0.188,0.345,White,M
di,1992-2016,10-14,0.304,0.228,0.396,White,M
di,1992-2016,15-19,0.805,0.678,0.949,White,M
di,1992-2016,20-24,1.617,1.435,1.816,White,M
di,1992-2016,25-29,3.578,3.31,3.861,White,M
di,1992-2016,30-34,7.183,6.812,7.57,White,M
di,1992-2016,35-39,13.888,13.372,14.418,White,M
di,1992-2016,40-44,27.846,27.114,28.593,White,M
di,1992-2016,45-49,56.523,55.459,57.603,White,M
di,1992-2016,50-54,111.583,110.019,113.163,White,M
di,1992-2016,55-59,171.421,169.323,173.539,White,M
di,1992-2016,60-64,256.115,253.264,258.989,White,M
di,1992-2016,65-69,364.366,360.546,368.217,White,M
di,1992-2016,70-74,484.094,479.103,489.124,White,M
di,1992-2016,75-79,603.748,597.372,610.175,White,M
di,1992-2016,80-84,709.244,700.882,717.681,White,M
di,1992-2016,85+,737.682,727.953,747.509,White,M
di,1990-2016,All ages,97.374,97.007,97.742,White,M
di,1990-2016,00-04,1.212,1.06,1.38,White,M
di,1990-2016,00,2.192,1.746,2.717,White,M
di,1990-2016,01-04,0.965,0.814,1.135,White,M
di,1990-2016,05-09,0.25,0.183,0.332,White,M
di,1990-2016,10-14,0.293,0.222,0.381,White,M
di,1990-2016,15-19,0.784,0.663,0.921,White,M
di,1990-2016,20-24,1.583,1.409,1.772,White,M
di,1990-2016,25-29,3.515,3.261,3.783,White,M
di,1990-2016,30-34,7.028,6.676,7.394,White,M
di,1990-2016,35-39,13.704,13.212,14.21,White,M
di,1990-2016,40-44,27.47,26.768,28.185,White,M
di,1990-2016,45-49,55.853,54.825,56.896,White,M
di,1990-2016,50-54,110.841,109.321,112.378,White,M
di,1990-2016,55-59,171.831,169.782,173.897,White,M
di,1990-2016,60-64,257.414,254.642,260.208,White,M
di,1990-2016,65-69,368.601,364.89,372.341,White,M
di,1990-2016,70-74,490.766,485.913,495.656,White,M
di,1990-2016,75-79,612.582,606.361,618.851,White,M
di,1990-2016,80-84,720.102,711.896,728.378,White,M
di,1990-2016,85+,747.693,738.116,757.364,White,M
di,2007-2016,All ages,101.075,100.475,101.679,White,M
di,2007-2016,00-04,1.384,1.12,1.692,White,M
di,2007-2016,00,2.342,1.602,3.306,White,M
di,2007-2016,01-04,1.146,0.88,1.466,White,M
di,2007-2016,05-09,0.244,0.142,0.391,White,M
di,2007-2016,10-14,0.441,0.299,0.625,White,M
di,2007-2016,15-19,1.134,0.9,1.409,White,M
di,2007-2016,20-24,2.12,1.801,2.481,White,M
di,2007-2016,25-29,4.41,3.949,4.911,White,M
di,2007-2016,30-34,8.576,7.92,9.272,White,M
di,2007-2016,35-39,15.896,14.984,16.85,White,M
di,2007-2016,40-44,30.351,29.104,31.639,White,M
di,2007-2016,45-49,60.534,58.813,62.293,White,M
di,2007-2016,50-54,118.909,116.516,121.34,White,M
di,2007-2016,55-59,171.991,168.997,175.025,White,M
di,2007-2016,60-64,246.933,243.027,250.887,White,M
di,2007-2016,65-69,328.8,323.609,334.054,White,M
di,2007-2016,70-74,419.909,412.861,427.047,White,M
di,2007-2016,75-79,526.683,517.424,536.067,White,M
