site,period,diag_age,rate,lower95,upper95,race,gender
0,1975-2016,All ages,424.444,423.896,424.993,All races,F
0,1975-2016,00-04,19.68,19.229,20.138,All races,F
0,1975-2016,00,24.111,23.012,25.249,All races,F
0,1975-2016,01-04,18.547,18.057,19.046,All races,F
0,1975-2016,05-09,10.161,9.838,10.493,All races,F
0,1975-2016,10-14,11.966,11.619,12.322,All races,F
0,1975-2016,15-19,20.483,20.031,20.943,All races,F
0,1975-2016,20-24,36.019,35.429,36.617,All races,F
0,1975-2016,25-29,62.82,62.06,63.586,All races,F
0,1975-2016,30-34,103.117,102.145,104.096,All races,F
0,1975-2016,35-39,168.52,167.244,169.802,All races,F
0,1975-2016,40-44,275.449,273.771,277.134,All races,F
0,1975-2016,45-49,425.56,423.393,427.735,All races,F
0,1975-2016,50-54,591.343,588.691,594.004,All races,F
0,1975-2016,55-59,787.822,784.578,791.076,All races,F
0,1975-2016,60-64,1043.499,1039.468,1047.541,All races,F
0,1975-2016,65-69,1329.135,1324.195,1334.089,All races,F
0,1975-2016,70-74,1591.703,1585.736,1597.686,All races,F
0,1975-2016,75-79,1811.235,1804.181,1818.309,All races,F
0,1975-2016,80-84,1942.998,1934.545,1951.479,All races,F
0,1975-2016,85+,1887.962,1879.613,1896.338,All races,F
0,2000-2016,All ages,465.119,464.268,465.971,All races,F
0,2000-2016,00-04,21.355,20.64,22.089,All races,F
0,2000-2016,00,26.066,24.32,27.903,All races,F
0,2000-2016,01-04,20.167,19.39,20.967,All races,F
0,2000-2016,05-09,10.875,10.367,11.401,All races,F
0,2000-2016,10-14,12.912,12.366,13.476,All races,F
0,2000-2016,15-19,22.173,21.453,22.911,All races,F
0,2000-2016,20-24,40.719,39.746,41.71,All races,F
0,2000-2016,25-29,70.531,69.267,71.811,All races,F
0,2000-2016,30-34,116.493,114.881,118.123,All races,F
0,2000-2016,35-39,181.676,179.669,183.7,All races,F
0,2000-2016,40-44,291.154,288.65,293.673,All races,F
0,2000-2016,45-49,439.099,436.028,442.187,All races,F
0,2000-2016,50-54,602.864,599.2,606.544,All races,F
