site,period,diag_age,rate,lower95,upper95,race,gender
0,1975-2016,All ages,461.256,460.675,461.839,All races,M
0,1975-2016,00-04,21.566,21.105,22.035,All races,M
0,1975-2016,00,23.762,22.696,24.866,All races,M
0,1975-2016,01-04,21.004,20.494,21.523,All races,M
0,1975-2016,05-09,12.246,11.899,12.602,All races,M
0,1975-2016,10-14,12.97,12.616,13.332,All races,M
0,1975-2016,15-19,21.528,21.075,21.989,All races,M
0,1975-2016,20-24,33.7,33.138,34.27,All races,M
0,1975-2016,25-29,50.532,49.856,51.216,All races,M
0,1975-2016,30-34,71.341,70.534,72.156,All races,M
0,1975-2016,35-39,100.016,99.031,101.009,All races,M
0,1975-2016,40-44,153.704,152.44,154.976,All races,M
0,1975-2016,45-49,271.501,269.749,273.261,All races,M
0,1975-2016,50-54,516.93,514.4,519.471,All races,M
0,1975-2016,55-59,894.241,890.677,897.816,All races,M
0,1975-2016,60-64,1418.845,1413.918,1423.785,All races,M
0,1975-2016,65-69,2098.694,2091.982,2105.423,All races,M
0,1975-2016,70-74,2712.669,2703.895,2721.464,All races,M
0,1975-2016,75-79,3144.441,3133.352,3155.558,All races,M
0,1975-2016,80-84,3342.115,3327.837,3356.438,All races,M
0,1975-2016,85+,3290.028,3273.58,3306.538,All races,M
0,2000-2016,All ages,499.705,498.809,500.602,All races,M
0,2000-2016,00-04,23.167,22.439,23.914,All races,M
0,2000-2016,00,26.102,24.394,27.898,All races,M
0,2000-2016,01-04,22.427,21.625,23.25,All races,M
0,2000-2016,05-09,12.827,12.287,13.384,All races,M
0,2000-2016,10-14,13.978,13.422,14.551,All races,M
0,2000-2016,15-19,23.429,22.707,24.167,All races,M
0,2000-2016,20-24,35.887,34.996,36.795,All races,M
0,2000-2016,25-29,52.881,51.798,53.98,All races,M
0,2000-2016,30-34,70.462,69.214,71.726,All races,M
0,2000-2016,35-39,96.949,95.483,98.433,All races,M
0,2000-2016,40-44,153.308,151.483,155.15,All races,M
0,2000-2016,45-49,276.525,274.062,279.004,All races,M
0,2000-2016,50-54,541.153,537.619,544.705,All races,M
0,2000-2016,55-59,926.409,921.447,931.392,All races,M
0,2000-2016,60-64,1444.167,1437.198,1451.162,All races,M
0,2000-2016,65-69,2097.862,2088.163,2107.596,All races,M
0,2000-2016,70-74,2603.793,2591.235,2616.398,All races,M
0,2000-2016,75-79,2978.974,2963.565,2994.443,All races,M
0,2000-2016,80-84,3096.133,3077.444,3114.907,All races,M
0,2000-2016,85+,3024.397,3003.86,3045.039,All races,M
0,1992-2016,All ages,494.654,493.906,495.403,All races,M
0,1992-2016,00-04,22.756,22.158,23.367,All races,M
0,1992-2016,00,25.434,24.032,26.897,All races,M
0,1992-2016,01-04,22.086,21.427,22.759,All races,M
0,1992-2016,05-09,12.45,12.009,12.903,All races,M
0,1992-2016,10-14,13.669,13.21,14.14,All races,M
0,1992-2016,15-19,22.669,22.072,23.278,All races,M
0,1992-2016,20-24,35.158,34.414,35.913,All races,M
0,1992-2016,25-29,52.884,51.987,53.792,All races,M
0,1992-2016,30-34,72.95,71.915,73.997,All races,M
0,1992-2016,35-39,99.59,98.381,100.81,All races,M
0,1992-2016,40-44,154.936,153.416,156.468,All races,M
0,1992-2016,45-49,275.589,273.506,277.684,All races,M
0,1992-2016,50-54,536.348,533.293,539.416,All races,M
0,1992-2016,55-59,932.755,928.367,937.158,All races,M
0,1992-2016,60-64,1479.321,1473.151,1485.511,All races,M
0,1992-2016,65-69,2188.49,2180.024,2196.981,All races,M
0,1992-2016,70-74,2755.753,2744.93,2766.609,All races,M
0,1992-2016,75-79,3114.95,3101.71,3128.233,All races,M
0,1992-2016,80-84,3228.658,3212.236,3245.143,All races,M
0,1992-2016,85+,3138.764,3120.297,3157.313,All races,M
0,1990-2016,All ages,494.057,493.333,494.781,All races,M
0,1990-2016,00-04,22.668,22.093,23.255,All races,M
0,1990-2016,00,24.972,23.635,26.364,All races,M
0,1990-2016,01-04,22.089,21.454,22.737,All races,M
0,1990-2016,05-09,12.504,12.078,12.942,All races,M
0,1990-2016,10-14,13.626,13.183,14.081,All races,M
0,1990-2016,15-19,22.576,22,23.164,All races,M
0,1990-2016,20-24,35.02,34.304,35.748,All races,M
0,1990-2016,25-29,53.473,52.606,54.35,All races,M
0,1990-2016,30-34,74.297,73.293,75.311,All races,M
