site,period,diag_age,rate,lower95,upper95,race,gender
0,1975-2016,All ages,314.079,312.718,315.444,Black,F
0,1975-2016,00-04,16.174,15.106,17.297,Black,F
0,1975-2016,00,21.26,18.573,24.228,Black,F
0,1975-2016,01-04,14.895,13.752,16.108,Black,F
0,1975-2016,05-09,8.7,7.927,9.526,Black,F
0,1975-2016,10-14,10.227,9.387,11.122,Black,F
0,1975-2016,15-19,14.646,13.634,15.714,Black,F
0,1975-2016,20-24,24.829,23.511,26.202,Black,F
0,1975-2016,25-29,46.722,44.938,48.559,Black,F
0,1975-2016,30-34,90.611,88.082,93.194,Black,F
0,1975-2016,35-39,156.322,152.861,159.842,Black,F
0,1975-2016,40-44,263.366,258.647,268.15,Black,F
0,1975-2016,45-49,413.211,406.889,419.606,Black,F
0,1975-2016,50-54,598.925,590.759,607.176,Black,F
0,1975-2016,55-59,812.037,801.623,822.551,Black,F
0,1975-2016,60-64,1074.065,1060.72,1087.537,Black,F
0,1975-2016,65-69,1338.25,1321.561,1355.098,Black,F
0,1975-2016,70-74,1564.948,1544.076,1586.032,Black,F
0,1975-2016,75-79,1766.865,1741.204,1792.81,Black,F
0,1975-2016,80-84,1894.889,1862.143,1928.066,Black,F
0,1975-2016,85+,1852.485,1818.931,1886.502,Black,F
0,2000-2016,All ages,349.778,347.744,351.821,Black,F
0,2000-2016,00-04,17.275,15.651,19.022,Black,F
0,2000-2016,00,23.116,19.016,27.838,Black,F
0,2000-2016,01-04,15.811,14.081,17.695,Black,F
0,2000-2016,05-09,9.557,8.381,10.852,Black,F
0,2000-2016,10-14,10.436,9.23,11.755,Black,F
0,2000-2016,15-19,14.995,13.522,16.586,Black,F
0,2000-2016,20-24,26.245,24.253,28.358,Black,F
0,2000-2016,25-29,48.878,46.15,51.725,Black,F
0,2000-2016,30-34,92.366,88.605,96.246,Black,F
0,2000-2016,35-39,157.596,152.665,162.646,Black,F
0,2000-2016,40-44,259.923,253.527,266.44,Black,F
0,2000-2016,45-49,411.614,403.289,420.068,Black,F
0,2000-2016,50-54,607.665,597.028,618.443,Black,F
0,2000-2016,55-59,815.966,802.384,829.721,Black,F
0,2000-2016,60-64,1099.823,1081.753,1118.119,Black,F
0,2000-2016,65-69,1410.437,1386.507,1434.676,Black,F
0,2000-2016,70-74,1625.191,1595.115,1655.692,Black,F
0,2000-2016,75-79,1869.352,1832.313,1906.951,Black,F
0,2000-2016,80-84,1924.399,1880.184,1969.391,Black,F
0,2000-2016,85+,1856.229,1812.646,1900.596,Black,F
0,1992-2016,All ages,336.686,334.989,338.389,Black,F
0,1992-2016,00-04,16.582,15.257,17.99,Black,F
0,1992-2016,00,22.475,19.066,26.318,Black,F
0,1992-2016,01-04,15.14,13.733,16.652,Black,F
0,1992-2016,05-09,8.657,7.725,9.671,Black,F
0,1992-2016,10-14,10.399,9.369,11.511,Black,F
0,1992-2016,15-19,14.669,13.417,16.006,Black,F
0,1992-2016,20-24,26.573,24.867,28.365,Black,F
0,1992-2016,25-29,48.537,46.268,50.889,Black,F
0,1992-2016,30-34,91.29,88.189,94.473,Black,F
0,1992-2016,35-39,154.449,150.381,158.6,Black,F
0,1992-2016,40-44,261.228,255.789,266.754,Black,F
0,1992-2016,45-49,416.202,408.944,423.556,Black,F
0,1992-2016,50-54,607.215,597.776,616.766,Black,F
0,1992-2016,55-59,821.323,809.113,833.671,Black,F
0,1992-2016,60-64,1101.596,1085.564,1117.805,Black,F
0,1992-2016,65-69,1401.611,1380.988,1422.465,Black,F
