site,period,diag_age,rate,lower95,upper95,race,gender
0,1975-2016,All ages,397.563,395.956,399.175,Black,M
0,1975-2016,00-04,16.486,15.424,17.603,Black,M
0,1975-2016,00,19.779,17.229,22.6,Black,M
0,1975-2016,01-04,15.657,14.501,16.88,Black,M
0,1975-2016,05-09,9.24,8.455,10.079,Black,M
0,1975-2016,10-14,11.128,10.263,12.047,Black,M
0,1975-2016,15-19,14.764,13.754,15.827,Black,M
0,1975-2016,20-24,21.967,20.7,23.291,Black,M
0,1975-2016,25-29,37.083,35.4,38.826,Black,M
0,1975-2016,30-34,59.672,57.482,61.925,Black,M
0,1975-2016,35-39,96.275,93.367,99.251,Black,M
0,1975-2016,40-44,183.285,179.071,187.575,Black,M
0,1975-2016,45-49,367.46,361.074,373.93,Black,M
0,1975-2016,50-54,738.378,728.613,748.241,Black,M
0,1975-2016,55-59,1294.945,1280.621,1309.39,Black,M
0,1975-2016,60-64,1971.542,1951.389,1991.852,Black,M
0,1975-2016,65-69,2713.705,2686.508,2741.108,Black,M
0,1975-2016,70-74,3221.779,3186.039,3257.82,Black,M
0,1975-2016,75-79,3477.312,3431.95,3523.123,Black,M
0,1975-2016,80-84,3542.727,3481.6,3604.659,Black,M
0,1975-2016,85+,3192.019,3123.354,3261.813,Black,M
0,2000-2016,All ages,419.97,417.63,422.32,Black,M
0,2000-2016,00-04,18.482,16.829,20.252,Black,M
0,2000-2016,00,22.12,18.18,26.66,Black,M
0,2000-2016,01-04,17.571,15.775,19.514,Black,M
0,2000-2016,05-09,8.92,7.804,10.15,Black,M
0,2000-2016,10-14,12.05,10.773,13.436,Black,M
0,2000-2016,15-19,15.096,13.638,16.667,Black,M
0,2000-2016,20-24,22.553,20.691,24.538,Black,M
0,2000-2016,25-29,40.565,37.946,43.316,Black,M
0,2000-2016,30-34,59.489,56.264,62.85,Black,M
0,2000-2016,35-39,90.23,86.24,94.357,Black,M
0,2000-2016,40-44,169.482,163.965,175.137,Black,M
0,2000-2016,45-49,348.783,340.594,357.118,Black,M
0,2000-2016,50-54,729.791,717.253,742.493,Black,M
0,2000-2016,55-59,1308.207,1289.459,1327.159,Black,M
0,2000-2016,60-64,1985.879,1958.749,2013.292,Black,M
0,2000-2016,65-69,2726.554,2688.371,2765.144,Black,M
0,2000-2016,70-74,2957.214,2909.08,3005.944,Black,M
0,2000-2016,75-79,3206.553,3145.643,3268.346,Black,M
0,2000-2016,80-84,3148.293,3071.395,3226.63,Black,M
0,2000-2016,85+,2835.235,2750.796,2921.607,Black,M
0,1992-2016,All ages,419.952,417.962,421.948,Black,M
0,1992-2016,00-04,17.736,16.389,19.165,Black,M
0,1992-2016,00,21.558,18.277,25.257,Black,M
0,1992-2016,01-04,16.801,15.342,18.361,Black,M
0,1992-2016,05-09,9.079,8.138,10.099,Black,M
0,1992-2016,10-14,11.895,10.809,13.06,Black,M
0,1992-2016,15-19,14.937,13.69,16.267,Black,M
0,1992-2016,20-24,23.473,21.846,25.189,Black,M
0,1992-2016,25-29,40.742,38.545,43.031,Black,M
0,1992-2016,30-34,63.749,60.986,66.606,Black,M
0,1992-2016,35-39,94.996,91.587,98.5,Black,M
0,1992-2016,40-44,178.939,174.124,183.852,Black,M
0,1992-2016,45-49,361.149,353.91,368.498,Black,M
0,1992-2016,50-54,744.21,732.961,755.589,Black,M
0,1992-2016,55-59,1336.16,1319.157,1353.326,Black,M
0,1992-2016,60-64,2049.237,2024.811,2073.884,Black,M
0,1992-2016,65-69,2849.022,2815.272,2883.075,Black,M
0,1992-2016,70-74,3273.044,3229.709,3316.816,Black,M
0,1992-2016,75-79,3471.458,3417.609,3525.944,Black,M
0,1992-2016,80-84,3385.385,3316.227,3455.622,Black,M
0,1992-2016,85+,3061.47,2984.438,3139.986,Black,M
0,1990-2016,All ages,418.85,416.921,420.786,Black,M
0,1990-2016,00-04,17.428,16.138,18.794,Black,M
0,1990-2016,00,20.758,17.657,24.247,Black,M
0,1990-2016,01-04,16.607,15.205,18.104,Black,M
0,1990-2016,05-09,9.259,8.336,10.257,Black,M
0,1990-2016,10-14,11.786,10.736,12.912,Black,M
0,1990-2016,15-19,14.885,13.676,16.172,Black,M
0,1990-2016,20-24,22.867,21.313,24.505,Black,M
0,1990-2016,25-29,41.083,38.954,43.298,Black,M
0,1990-2016,30-34,64.376,61.694,67.144,Black,M
