site,period,diag_age,rate,lower95,upper95,race,gender
0,1975-2016,All ages,459.2,458.552,459.849,White,F
0,1975-2016,00-04,20.627,20.092,21.173,White,F
0,1975-2016,00,24.941,23.648,26.287,White,F
0,1975-2016,01-04,19.52,18.937,20.116,White,F
0,1975-2016,05-09,10.433,10.054,10.824,White,F
0,1975-2016,10-14,12.527,12.116,12.948,White,F
0,1975-2016,15-19,21.806,21.269,22.352,White,F
0,1975-2016,20-24,38.548,37.845,39.261,White,F
0,1975-2016,25-29,67.135,66.229,68.05,White,F
0,1975-2016,30-34,106.742,105.605,107.889,White,F
0,1975-2016,35-39,172.279,170.8,173.767,White,F
0,1975-2016,40-44,279.606,277.678,281.544,White,F
0,1975-2016,45-49,432.936,430.462,435.421,White,F
0,1975-2016,50-54,600.949,597.942,603.966,White,F
0,1975-2016,55-59,803.024,799.366,806.694,White,F
0,1975-2016,60-64,1071.578,1067.039,1076.131,White,F
0,1975-2016,65-69,1369.153,1363.617,1374.707,White,F
0,1975-2016,70-74,1639.544,1632.912,1646.197,White,F
0,1975-2016,75-79,1862.013,1854.241,1869.81,White,F
0,1975-2016,80-84,1986.86,1977.654,1996.099,White,F
0,1975-2016,85+,1918.115,1909.108,1927.154,White,F
0,2000-2016,All ages,509.291,508.253,510.331,White,F
0,2000-2016,00-04,22.713,21.839,23.614,White,F
0,2000-2016,00,26.966,24.865,29.197,White,F
0,2000-2016,01-04,21.641,20.687,22.627,White,F
0,2000-2016,05-09,11.185,10.575,11.822,White,F
0,2000-2016,10-14,13.681,13.014,14.373,White,F
0,2000-2016,15-19,24.119,23.232,25.032,White,F
0,2000-2016,20-24,44.945,43.733,46.182,White,F
0,2000-2016,25-29,78.068,76.48,79.68,White,F
0,2000-2016,30-34,125.05,123.056,127.069,White,F
0,2000-2016,35-39,189.696,187.259,192.157,White,F
0,2000-2016,40-44,300.803,297.816,303.813,White,F
0,2000-2016,45-49,450.659,447.054,454.287,White,F
0,2000-2016,50-54,613.504,609.26,617.77,White,F
0,2000-2016,55-59,801.739,796.619,806.884,White,F
0,2000-2016,60-64,1069.558,1063.023,1076.123,White,F
0,2000-2016,65-69,1406.19,1397.749,1414.669,White,F
0,2000-2016,70-74,1702.243,1691.849,1712.685,White,F
0,2000-2016,75-79,1956.069,1944.007,1968.187,White,F
0,2000-2016,80-84,2052.937,2039.361,2066.581,White,F
0,2000-2016,85+,1890.256,1877.965,1902.608,White,F
0,1992-2016,All ages,495.925,495.073,496.778,White,F
0,1992-2016,00-04,21.772,21.067,22.494,White,F
0,1992-2016,00,25.649,23.957,27.43,White,F
0,1992-2016,01-04,20.798,20.028,21.589,White,F
0,1992-2016,05-09,10.863,10.367,11.376,White,F
0,1992-2016,10-14,13.333,12.788,13.896,White,F
0,1992-2016,15-19,23.343,22.615,24.088,White,F
0,1992-2016,20-24,42.919,41.929,43.926,White,F
0,1992-2016,25-29,73.894,72.628,75.176,White,F
0,1992-2016,30-34,115.6,114.058,117.158,White,F
0,1992-2016,35-39,180.218,178.316,182.135,White,F
0,1992-2016,40-44,288.561,286.17,290.967,White,F
0,1992-2016,45-49,441.984,438.989,444.993,White,F
0,1992-2016,50-54,612.536,608.884,616.205,White,F
0,1992-2016,55-59,812.196,807.682,816.729,White,F
0,1992-2016,60-64,1083.918,1078.204,1089.655,White,F
0,1992-2016,65-69,1418.873,1411.726,1426.048,White,F
0,1992-2016,70-74,1719.115,1710.538,1727.724,White,F
0,1992-2016,75-79,1950.26,1940.375,1960.183,White,F
0,1992-2016,80-84,2052.811,2041.435,2064.235,White,F
0,1992-2016,85+,1912.172,1901.579,1922.81,White,F
0,1990-2016,All ages,492.736,491.916,493.557,White,F
0,1990-2016,00-04,21.671,20.994,22.363,White,F
0,1990-2016,00,25.411,23.793,27.11,White,F
0,1990-2016,01-04,20.727,19.988,21.487,White,F
0,1990-2016,05-09,10.777,10.302,11.269,White,F
0,1990-2016,10-14,13.258,12.734,13.799,White,F
0,1990-2016,15-19,23.073,22.373,23.788,White,F
0,1990-2016,20-24,42.503,41.556,43.467,White,F
0,1990-2016,25-29,72.701,71.498,73.919,White,F
0,1990-2016,30-34,113.933,112.468,115.412,White,F
0,1990-2016,35-39,178.9,177.08,180.734,White,F
0,1990-2016,40-44,286.994,284.696,289.306,White,F
0,1990-2016,45-49,441.354,438.447,444.276,White,F
0,1990-2016,50-54,612.236,608.675,615.814,White,F
0,1990-2016,55-59,812.813,808.412,817.231,White,F
0,1990-2016,60-64,1085.57,1080.03,1091.131,White,F
0,1990-2016,65-69,1418.681,1411.796,1425.591,White,F
0,1990-2016,70-74,1718.774,1710.517,1727.062,White,F
0,1990-2016,75-79,1948.399,1938.868,1957.966,White,F
0,1990-2016,80-84,2051.672,2040.656,2062.732,White,F
0,1990-2016,85+,1916.335,1906.018,1926.693,White,F
0,2007-2016,All ages,521.486,520.127,522.848,White,F
0,2007-2016,00-04,23.135,21.984,24.331,White,F
0,2007-2016,00,26.486,23.765,29.434,White,F
0,2007-2016,01-04,22.302,21.042,23.619,White,F
0,2007-2016,05-09,11.716,10.907,12.569,White,F
0,2007-2016,10-14,13.669,12.798,14.584,White,F
0,2007-2016,15-19,25.714,24.521,26.951,White,F
0,2007-2016,20-24,45.1,43.529,46.714,White,F
0,2007-2016,25-29,80.436,78.368,82.545,White,F
0,2007-2016,30-34,131.068,128.401,133.776,White,F
0,2007-2016,35-39,199.407,196.076,202.781,White,F
0,2007-2016,40-44,310.912,306.825,315.041,White,F
0,2007-2016,45-49,459.686,454.886,464.525,White,F
0,2007-2016,50-54,621.436,615.962,626.946,White,F
0,2007-2016,55-59,784.367,778.035,790.738,White,F
0,2007-2016,60-64,1041.765,1033.911,1049.665,White,F
