site,period,diag_age,rate,lower95,upper95,race,gender
0,1975-2016,All ages,491.209,490.53,491.888,White,M
0,1975-2016,00-04,22.553,22.007,23.11,White,M
0,1975-2016,00,24.7,23.444,26.006,White,M
0,1975-2016,01-04,22.003,21.399,22.619,White,M
0,1975-2016,05-09,12.93,12.517,13.353,White,M
0,1975-2016,10-14,13.231,12.819,13.652,White,M
0,1975-2016,15-19,23.187,22.647,23.737,White,M
0,1975-2016,20-24,36.904,36.23,37.586,White,M
0,1975-2016,25-29,54.333,53.535,55.14,White,M
0,1975-2016,30-34,75.709,74.767,76.66,White,M
0,1975-2016,35-39,103.256,102.125,104.395,White,M
0,1975-2016,40-44,154.091,152.668,155.524,White,M
0,1975-2016,45-49,267.851,265.906,269.807,White,M
0,1975-2016,50-54,506.951,504.166,509.748,White,M
0,1975-2016,55-59,879.301,875.397,883.218,White,M
0,1975-2016,60-64,1408.47,1403.074,1413.881,White,M
0,1975-2016,65-69,2104.471,2097.101,2111.861,White,M
0,1975-2016,70-74,2747.327,2737.686,2756.994,White,M
0,1975-2016,75-79,3198.871,3186.705,3211.071,White,M
0,1975-2016,80-84,3404.749,3389.173,3420.379,White,M
0,1975-2016,85+,3367.424,3349.428,3385.492,White,M
0,2000-2016,All ages,541.332,540.256,542.41,White,M
0,2000-2016,00-04,24.203,23.322,25.11,White,M
0,2000-2016,00,27.152,25.092,29.336,White,M
0,2000-2016,01-04,23.46,22.49,24.461,White,M
0,2000-2016,05-09,13.8,13.137,14.487,White,M
0,2000-2016,10-14,14.468,13.8,15.161,White,M
0,2000-2016,15-19,25.885,24.99,26.803,White,M
0,2000-2016,20-24,39.982,38.876,41.111,White,M
0,2000-2016,25-29,57.803,56.475,59.154,White,M
0,2000-2016,30-34,75.783,74.272,77.317,White,M
0,2000-2016,35-39,101.24,99.496,103.006,White,M
0,2000-2016,40-44,156.181,154.058,158.327,White,M
0,2000-2016,45-49,276.889,274.077,279.723,White,M
0,2000-2016,50-54,536.345,532.362,540.35,White,M
0,2000-2016,55-59,915.278,909.737,920.844,White,M
0,2000-2016,60-64,1435.956,1428.196,1443.747,White,M
0,2000-2016,65-69,2104.875,2094.064,2115.729,White,M
0,2000-2016,70-74,2652.32,2638.269,2666.428,White,M
0,2000-2016,75-79,3039.424,3022.278,3056.643,White,M
0,2000-2016,80-84,3167.824,3147.168,3188.581,White,M
0,2000-2016,85+,3111.181,3088.45,3134.038,White,M
0,1992-2016,All ages,533.09,532.2,533.982,White,M
0,1992-2016,00-04,23.836,23.116,24.573,White,M
0,1992-2016,00,26.421,24.743,28.183,White,M
0,1992-2016,01-04,23.187,22.393,24.001,White,M
0,1992-2016,05-09,13.251,12.717,13.803,White,M
0,1992-2016,10-14,13.987,13.442,14.548,White,M
0,1992-2016,15-19,24.762,24.033,25.507,White,M
0,1992-2016,20-24,38.84,37.927,39.77,White,M
0,1992-2016,25-29,57.55,56.463,58.653,White,M
0,1992-2016,30-34,77.715,76.482,78.963,White,M
0,1992-2016,35-39,103.508,102.093,104.939,White,M
0,1992-2016,40-44,156.505,154.762,158.262,White,M
0,1992-2016,45-49,273.891,271.543,276.255,White,M
0,1992-2016,50-54,529.699,526.286,533.129,White,M
0,1992-2016,55-59,920.949,916.078,925.841,White,M
0,1992-2016,60-64,1472.327,1465.482,1479.196,White,M
0,1992-2016,65-69,2197.821,2188.424,2207.248,White,M
0,1992-2016,70-74,2796.095,2784.083,2808.146,White,M
0,1992-2016,75-79,3168.875,3154.245,3183.555,White,M
