"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Miliary tuberculosis, unspecified"	"A19.9"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Meningococcaemia, unspecified"	"A39.4"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Other streptococcal septicaemia"	"A40.8"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Septicaemia, unspecified"	"A41.9"	9	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Toxic shock syndrome"	"A48.3"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Unspecified viral encephalitis"	"A86"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Viral meningitis, unspecified"	"A87.9"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in mycobacterial infection"	"B20.0"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in multiple infections"	"B20.7"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in other specified conditions"	"B23.8"	6	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Gammaherpesviral mononucleosis"	"B27.0"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Pneumocystosis"	"B59"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Sequelae of viral encephalitis"	"B94.1"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	4	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Malignant neoplasm of ovary"	"C56"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Cerebellum - Malignant neoplasms"	"C71.6"	1	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Brain stem - Malignant neoplasms"	"C71.7"	2	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	3	1615115	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	1	1615115	Unreliable
