"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Waterhouse-Friderichsen syndrome"	"A39.1"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Septicaemia, unspecified"	"A41.9"	7	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Actinomycosis, unspecified"	"A42.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Other bacterial infections of unspecified site"	"A49.8"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in other bacterial infections"	"B20.1"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in multiple infections"	"B20.7"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in other specified conditions"	"B23.8"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	2	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Heart - Malignant neoplasms"	"C38.0"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	11	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	7	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Cerebellum - Malignant neoplasms"	"C71.6"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	4	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Malignant neoplasm of thyroid gland"	"C73"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Malignant neoplasm without specification of site"	"C80"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Hodgkin disease, unspecified"	"C81.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Non-Hodgkin lymphoma lymphoblastic (diffuse)"	"C83.5"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Burkitt tumor"	"C83.7"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	4	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	12	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Adult T-cell leukaemia - Malignant neoplasms"	"C91.5"	2	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	2	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	5	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Larynx - Benign neoplasms"	"D14.1"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	4	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	2	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Sickle-cell anaemia with crisis"	"D57.0"	4	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Sickle-cell anaemia without crisis"	"D57.1"	9	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Other haemoglobinopathies"	"D58.2"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Coagulation defect, unspecified"	"D68.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Thyrotoxicosis, unspecified"	"E05.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Non-insulin-dependent diabetes mellitus, with ketoacidosis"	"E11.1"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Unspecified diabetes mellitus, with coma"	"E14.0"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	5	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Unspecified diabetes mellitus, without complications"	"E14.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Extreme obesity with alveolar hypoventilation"	"E66.2"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Other obesity"	"E66.8"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Obesity, unspecified"	"E66.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Mucopolysaccharidosis, type II"	"E76.1"	3	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Reaction to severe stress, unspecified"	"F43.9"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Unspecified mental retardation"	"F79"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Childhood autism"	"F84.0"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Unspecified disorder of psychological development"	"F89"	1	1923433	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Meningitis, unspecified"	"G03.9"	2	1923433	Unreliable
