"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	692	1532399	45.158
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	672	1536869	43.725
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	630	1555227	40.509
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	639	1578608	40.479
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	598	1615115	37.025
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	661	1665568	39.686
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	650	1729257	37.588
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	643	1783598	36.051
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	654	1829855	35.741
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	681	1862208	36.569
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"			6520	16688704	39.068
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	3133	7672225	40.836
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	3031	7716859	39.278
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	2971	7762551	38.274
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	3139	7799081	40.248
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	3084	7850798	39.283
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	3183	7936823	40.104
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	2969	8041997	36.919
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	2974	8126644	36.596
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	2914	8190463	35.578
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	2598	8210555	31.642
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"			29996	79307996	37.822
"Total"	"15-19 years"	"15-19"	"Female"	"F"					36516	95996700	38.039
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	2157	1567014	137.650
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	2045	1571778	130.107
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	2080	1608807	129.288
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	1963	1635301	120.039
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	1974	1666650	118.441
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	2019	1716424	117.628
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	2189	1781344	122.885
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	2309	1838852	125.567
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	2302	1886818	122.004
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	2175	1923433	113.079
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"			21213	17196421	123.357
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	7222	8174959	88.343
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	7242	8218703	88.116
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	7264	8317000	87.339
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	7474	8356476	89.440
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	7308	8388799	87.116
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	7267	8466212	85.835
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	7299	8568005	85.189
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	7168	8645517	82.910
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	6851	8697887	78.766
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	6416	8709334	73.668
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"			71511	84542892	84.585
"Total"	"15-19 years"	"15-19"	"Male"	"M"					92724	101739313	91.139
"Total"	"15-19 years"	"15-19"							129240	197736013	65.360
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	1026	1400773	73.245
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	1059	1433907	73.854
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	1038	1498468	69.271
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	1042	1534671	67.897
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	1099	1559339	70.479
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	1052	1571506	66.942
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	1012	1573637	64.310
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	1047	1581684	66.195
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	975	1597753	61.023
	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	1023	1626821	62.883
"Total"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"			10373	15378559	67.451
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	3016	7127585	42.314
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	3119	7249136	43.026
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	3248	7540396	43.075
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	3420	7710387	44.356
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	3673	7835821	46.874
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	3524	7900772	44.603
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	3649	7916144	46.096
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	3722	7910931	47.049
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	3710	7912050	46.891
	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	3474	7932729	43.793
"Total"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"			34555	77035951	44.856
"Total"	"20-24 years"	"20-24"	"Female"	"F"					44928	92414510	48.616
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	3191	1330173	239.894
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	3273	1360383	240.594
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	3399	1433365	237.134
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	3401	1480959	229.648
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	3474	1513879	229.477
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	3317	1546418	214.496
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	3520	1561286	225.455
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	3484	1578664	220.693
