"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Infectious colitis, enteritis, and gastroenteritis"	"009.0"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Meningococcal meningitis"	"036.0"	3	1486964	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Pneumococcal septicemia [streptococcus pneumoniae septicemia]"	"038.2"	2	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Other enterovirus diseases of central nervous system"	"048"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Viral hepatitis b without mention of hepatic coma"	"070.3"	2	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Other specified diseases due to viruses and chlamydiae"	"078.8"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Spotted fevers"	"082.0"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Leptospirosis, unspecified"	"100.9"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Aspergillosis"	"117.3"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Tongue, unspecified"	"141.9"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Stomach, unspecified"	"151.9"	2	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Sigmoid colon"	"153.3"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Colon, unspecified"	"153.9"	4	1486964	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Rectum"	"154.1"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Liver, primary"	"155.0"	2	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Retroperitoneum"	"158.0"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Other sites of digestive system and intra-abdominal organs"	"159.8"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Mediastinum, part unspecified"	"164.9"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Pelvic bones, sacrum, and coccyx"	"170.6"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Long bones of lower limb"	"170.7"	2	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Bone and articular cartilage, site unspecified"	"170.9"	9	1486964	0.6 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Lower limb, including hip"	"171.3"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Connective and other soft tissue, site unspecified"	"171.9"	6	1486964	0.4 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Other and unspecified testis"	"186.9"	2	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Kidney, except pelvis"	"189.0"	3	1486964	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Cerebrum, except lobes and ventricles"	"191.0"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Ventricles"	"191.5"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Cerebellum nos"	"191.6"	3	1486964	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Brain, unspecified"	"191.9"	6	1486964	0.4 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Spinal cord"	"192.2"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Adrenal gland"	"194.0"	1	1486964	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	"Pineal gland"	"194.4"	1	1486964	0.1 (Unreliable)
