"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Salmonella septicemia"	"003.1"	1	1343940	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Pulmonary tuberculosis, unspecified"	"011.9"	1	1343940	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Skin and subcutaneous cellular tissue"	"017.0"	1	1343940	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Pulmonary"	"031.0"	1	1343940	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Septicemia due to other gram-negative organisms"	"038.4"	1	1343940	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Unspecified septicemia"	"038.9"	5	1343940	0.372 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"HTLV-III/LAV infection with specified infections"	"042.0"	4	1343940	0.298 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"HTLV-III/LAV infection causing other specified infections"	"042.1"	2	1343940	0.149 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	6	1343940	0.446 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Herpes simplex without mention of complication"	"054.9"	1	1343940	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Viral hepatitis b without mention of hepatic coma"	"070.3"	2	1343940	0.149 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	1	1343940	0.074 (Unreliable)
