"Notes"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	777	1502000	51.7
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	757	1504109	50.3
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	677	1485022	45.6
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	696	1457700	47.7
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	685	1426935	48.0
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	627	1397957	44.9
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	611	1371236	44.6
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	672	1373895	48.9
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	678	1373503	49.4
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	686	1368872	50.1
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	664	1350929	49.2
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	730	1343940	54.3
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	684	1315495	52.0
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	660	1318601	50.1
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	702	1333625	52.6
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	753	1369387	55.0
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	780	1415543	55.1
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	762	1457078	52.3
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	713	1490307	47.8
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	643	1520323	42.3
"Total"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"			13957	28176457	49.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	1984	1495000	132.7
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	2015	1497744	134.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	1856	1486964	124.8
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	1782	1460935	122.0
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	1619	1432308	113.0
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	1565	1403667	111.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	1734	1381900	125.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	1847	1388867	133.0
